content,score,sentiment,sentiment_label
Hii instagrap my account is supposed is please 🥺 recover kar do my Instagram is name aryan_x.093 please,5,0.0,Neutral
great app but update is 😵‍💫,3,0.8,Positive
very good platform. I m very enjoy,5,0.715,Positive
nilipenda gafla hiii,4,0.0,Neutral
"""My account was suspended by mistake. i'm the real owner of this account and i follow instagram community guidelines. please review my account",5,0.2,Positive
i love this app!!!,5,0.9765625,Positive
Good app,5,0.7,Positive
"App has a bug on Android where videos will no longer play unless you force stop the app and clear the cache, but by the time you reach that point, the feed has changed and you'll never find that video again",2,0.09999999999999999,Positive
supar,5,0.0,Neutral
nice,5,0.6,Positive
calls not good,1,-0.35,Negative
amazing 😍,5,0.6000000000000001,Positive
delete for you option ia not working,5,0.0,Neutral
lmao,1,0.6,Positive
it's a very nice app 🙏🏻🤟🏻,5,0.78,Positive
"I am unable to log in on my device only. My Instagram accounts work properly on other devices, but on my Google Pixel 8 the app always shows “wrong password” even when the password is correct. I have already tried: - reinstalling the app - clearing cache and data - changing internet connection - resetting password - waiting more than 7 days Please check if my device has been mistakenly restricted or blocked.",1,-0.125,Negative
It was a bad decision to remove end to end encryption from chats,1,-0.6999999999999998,Negative
Best platform 👏 🙌 👌,5,1.0,Positive
amazing,4,0.6000000000000001,Positive
فيه بعض المشاكل من اتابع بنت انحظر,3,0.0,Neutral
good app,5,0.7,Positive
entertaining,5,0.5,Positive
"kebanyakan iklan dungu, 1 atau 2 scroll udh iklan aja",1,0.0,Neutral
plz I beg to you plz unsuspend my account plz I request to you plzzzz,2,0.0,Neutral
Don't Showing Restyle feature,1,0.0,Neutral
Grt app,5,0.0,Neutral
best app ever,5,1.0,Positive
Dear Instagram you have suspended 3 accounts of mine claiming that they are fake. there are lots of Instagram pages which is running by people why don't you suspend them??,1,-0.5,Negative
worst app... my all id got suspended with out any reason,1,-1.0,Negative
instagram update asay nai akn o😭,1,0.0,Neutral
shandar,5,0.0,Neutral
"I’m very upset with Instagram. Yesterday my account got disabled, and even after I submitted an appeal, received the code, and completed the face scan, my account is still not opening. What is this, Instagram? Please fix this as soon as possible. I want my account back as quickly as possible.",1,0.0,Neutral
"Instagram is much better than Facebook in the matter of cyber abuse, hate speech, bullying, etc",4,-0.15000000000000002,Negative
don't download this app it get login in other phone without your permission,1,-0.125,Negative
instagram has become horrible full of sex bots and scammers,1,-0.325,Negative
